light_cond,damage,acft_make,ev_country,Actual,Predicho
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,LUSCOMBE,USA,ACC,ACC
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,DEKKINGA,USA,ACC,ACC
NDRK,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,BROWN MICHAEL,USA,ACC,ACC
DAYL,SUBS,SHOUP RONALD R,USA,ACC,ACC
DUSK,SUBS,PIPER,USA,ACC,ACC
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,PIPER,USA,ACC,ACC
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,AIR TRACTOR,USA,ACC,ACC
DAYL,SUBS,SONEX LIMITED,USA,ACC,ACC
NITE,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,CESSNA,USA,ACC,ACC
DAYL,SUBS,MOONEY,USA,ACC,ACC
DAYL,SUBS,ROLLADEN-SCHNEIDER,USA,ACC,ACC
DAYL,SUBS,ECKENRODE CARL J,USA,ACC,ACC
DAYL,SUBS,RICHARD FUIST,USA,ACC,ACC
