bigram,count
pilot failure,7763
failure maintain,6452
engine power,5034
loss engine,4921
directional control,3407
maintain directional,2429
total loss,2234
control landing,2169
pilot improper,1995
landing gear,1699
reasons determined,1442
student pilot,1424
aerodynamic stall,1380
pilot inadequate,1348
loss control,1248
resulted loss,1213
landing roll,1134
flight instructor,1128
pilot decision,1098
hard landing,1078
runway excursion,1058
power fuel,1047
landing resulted,980
pilot loss,976
partial loss,966
airplane control,949
maintain clearance,933
loss directional,925
maintain adequate,919
control airplane,852
resulted runway,844
landing flare,834
low altitude,826
resulted aerodynamic,812
fuel starvation,791
resulted hard,785
fuel exhaustion,781
go around,767
angle attack,766
conditions resulted,751
critical angle,748
maintain control,703
control takeoff,689
adequate airspeed,623
impact terrain,620
flare resulted,619
wind conditions,611
bounced landing,608
improper landing,596
resulted total,587
initial climb,584
inadequate preflight,568
forced landing,555
loss airplane,548
power reasons,540
based available,538
main landing,533
determined based,532
takeoff resulted,530
determined postaccident,526
exceedance airplane,524
meteorological conditions,515
airplane critical,511
subsequent loss,494
aircraft control,490
instrument meteorological,482
resulted airplane,461
resulted collision,460
remedial action,457
collision terrain,450
postaccident examination,431
precluded normal,418
normal operation,415
improper decision,405
maintain airplane,404
maintenance personnel,390
airplane landing,380
power undetermined,380
crosswind conditions,372
gusting wind,367
delayed remedial,362
spatial disorientation,362
resulted fuel,353
preflight inspection,346
ground loop,345
decision continue,343
roll resulted,337
fuel management,336
cruise flight,334
maintain aircraft,330
final approach,328
see avoid,328
instructor delayed,327
failure properly,326
maintain proper,324
fuel planning,316
available information,303
flight crew,297
approach resulted,293
instructor failure,292
resulted nose,291
anomalies precluded,288
available evidence,286
resulted ground,286
pilot lack,284
carburetor icing,280
improper fuel,280
resulted impact,280
tail rotor,279
takeoff roll,278
subsequent failure,277
maneuvering low,275
main rotor,274
subsequent impact,268
nose landing,267
pilot inability,267
inadequate compensation,266
planning resulted,264
landing subsequent,261
visual flight,258
failure attain,253
stall spin,252
carburetor heat,251
gear landing,250
pilot exceedance,250
recovery bounced,239
runway overrun,239
maintain airspeed,238
management resulted,238
power lines,235
flight resulted,233
right main,231
reveal anomalies,230
failure ensure,229
unsuitable terrain,225
collision trees,224
inability maintain,224
left main,224
improper flare,221
instructor inadequate,221
fatigue failure,220
gusting crosswind,219
power takeoff,218
landing gusting,217
density altitude,215
preflight planning,215
pilot maintain,214
gear collapse,213
pilot inadvertent,208
pilot selection,207
fuel system,204
landing pilot,204
pilot delayed,203
substantial damage,202
touchdown point,202
power initial,198
extend landing,194
high density,194
decision land,193
result pilot,193
flight instrument,191
failure see,189
resulted bounced,189
power carburetor,187
excursion collision,185
selection unsuitable,185
approach landing,182
clearance power,177
power cruise,177
controlled flight,176
low level,175
pitch control,175
loss power,174
failure follow,173
improper installation,173
landing approach,173
resulted failure,172
proper touchdown,171
resulted pilot,171
airport landing,170
inadequate fuel,170
rated pilot,170
aborted landing,169
around resulted,169
failure extend,169
flight collision,167
adequate clearance,165
flight rules,165
helicopter control,165
mountainous terrain,165
resulted flight,162
dark night,161
attain proper,160
failure use,160
pilot excessive,158
weather conditions,158
excursion impact,157
inadequate supervision,156
terrain pilot,156
exceeding critical,153
