acft_make,acft_model,event_count,inj_sum,inj_mean
 BELLANCA  , 7GCBC  ,1,2,2.0
 OSPREY 2 ,AMPHIBIAN,1,1,1.0
 REIMS AVIATION CESSNA,F172N,1,2,2.0
 WSK PZL MIELEC  , M-18A  ,1,1,1.0
177MF LLC,PITTS MODEL 12,1,3,3.0
2007 SAVAGE AIR LLC,EPIC LT,1,4,4.0
2021FX3 LLC,CCX-2000,1,2,2.0
3XTRIM,450 ULTRA,1,3,3.0
5 RIVERS LLC,SQ-2,1,2,2.0
737,800,2,329,164.5
781569 INC,FX 210,1,4,4.0
A. SCHLEICHER GMBH & CO.,ASW 27-18,1,2,2.0
AARDEMA ROBERT JOHN,1 AARDEMA RAG WNG SP,1,1,1.0
AB SPORTINE AVIACIJA,GENESIS 2,2,3,1.5
AB SPORTINE AVIACIJA,LAK 17,1,1,1.0
AB SPORTINE AVIACIJA,LAK-17A,1,2,2.0
ABBETT GERRY,LANCAIR EVOLUTION,1,3,3.0
ABBEY VICTOR,RV9-A,1,2,2.0
ACKLAND JEFFREY DEAN,SH 3R,1,2,2.0
ACRO,SUPER ACRO SPORT I,1,2,2.0
ACRO SPORT,II,2,3,1.5
ACROSPORT,II,1,1,1.0
ADAMS,DRAGONFLY,1,1,1.0
ADAMS BALLOON,AB,1,5,5.0
ADAMS BALLOONS LLC,A55S,1,5,5.0
ADAMS DENNIS ALLEN,VARIEZE,1,2,2.0
ADAMS DONALD L,DA1,1,2,2.0
ADAMS JOHN R JR,PIEL DIAMANT,1,1,1.0
ADAMS WALTER R,SEAREY,1,1,1.0
ADKINS,RIDGE RUNNER II,1,2,2.0
ADMORE INTERNATIONAL JETS LLC,AIRCAM,1,1,1.0
ADOLPHSON,CCK-1865,1,2,2.0
ADRIAN GEORGE W,EUROPA CLASSIC,1,1,1.0
ADVERTISING MGMT & CONSULTING,VELOCITY SUPER XLRG5,1,6,6.0
AERGILITY,ATLIS 1,1,0,0.0
AERMACCHI,IMPALA MB-326M,1,2,2.0
AERO ADVENTURE,AVENTURA UL,1,2,2.0
AERO ADVENTURE,ZEPHYR II,1,2,2.0
AERO AT SP ZOO,AT-4 LSA,1,2,2.0
AERO BRISTELL,BRISTELL LSA,1,4,4.0
AERO COMMANDER,100,9,20,2.2222222222222223
AERO COMMANDER,100 180,1,1,1.0
AERO COMMANDER,100-180,4,10,2.5
AERO COMMANDER,112,3,4,1.3333333333333333
AERO COMMANDER,112A,1,3,3.0
AERO COMMANDER,114B,1,4,4.0
AERO COMMANDER,200,2,6,3.0
AERO COMMANDER,200D,4,9,2.25
AERO COMMANDER,500,4,12,3.0
AERO COMMANDER,500 - B,1,1,1.0
AERO COMMANDER,500 B,2,4,2.0
AERO COMMANDER,500 S,5,11,2.2
AERO COMMANDER,500-B,5,15,3.0
AERO COMMANDER,500A,1,2,2.0
AERO COMMANDER,500B,2,5,2.5
AERO COMMANDER,500S,2,5,2.5
AERO COMMANDER,560,1,1,1.0
AERO COMMANDER,560-F,1,2,2.0
AERO COMMANDER,560E,1,2,2.0
AERO COMMANDER,680 E,1,2,2.0
AERO COMMANDER,680 F,1,1,1.0
AERO COMMANDER,680-F,1,2,2.0
AERO COMMANDER,680E,1,5,5.0
AERO COMMANDER,680FL,1,2,2.0
AERO COMMANDER,685,1,5,5.0
AERO COMMANDER,690,3,4,1.3333333333333333
AERO COMMANDER,690A,1,2,2.0
AERO COMMANDER,695,1,2,2.0
AERO COMMANDER,CALLAIR,1,2,2.0
AERO COMMANDER,CALLAIR A 9,2,3,1.5
AERO COMMANDER,CALLAIR A 9B,1,2,2.0
AERO COMMANDER,CALLAIR A-9B,2,4,2.0
AERO COMMANDER,S2R,16,24,1.5
AERO DESIGNS,PULSAR,1,2,2.0
AERO ELI SERVIZI,YO-YO 222,1,2,2.0
