variable,conteos_por_grupo,H_estadistico,p_raw,estado,eta2_H,p_holm,rechazar_H0
vis_sm,"{'ACC': 25225, 'INC': 898}",0.6742908591589127,0.41155960622291576,ok,0.0,0.41155960622291576,False
wind_vel_kts,"{'ACC': 25225, 'INC': 898}",6.2263751835783605,0.012586112045006419,ok,0.0002000832733654286,0.025172224090012837,True
wx_temp,"{'ACC': 25225, 'INC': 898}",618.997019791184,1.2356685091165692e-136,ok,0.023659010749633783,9.885348072932553e-136,True
latitude,"{'ACC': 25225, 'INC': 898}",41.18947930505094,1.3816421115952256e-10,ok,0.0015385888482466574,4.1449263347856767e-10,True
longitude,"{'ACC': 25225, 'INC': 898}",333.0200326177324,2.1136309332045163e-74,ok,0.01271084692843813,1.2681785599227097e-73,True
num_eng,"{'ACC': 25225, 'INC': 898}",2611.570659235304,0.0,ok,0.09994145167624915,0.0,True
acft_year,"{'ACC': 25225, 'INC': 898}",440.2952596130213,9.336549314473654e-98,ok,0.016817704514108238,6.535584520131557e-97,True
total_seats,"{'ACC': 25225, 'INC': 898}",1320.2356285342607,4.526493105798929e-289,ok,0.05050479034241648,4.073843795219036e-288,True
inj_total,"{'ACC': 25225, 'INC': 898}",48.52141686519689,3.2670145492409152e-12,ok,0.0018192801525667812,1.3068058196963661e-11,True
inj_tot_t,"{'ACC': 25225, 'INC': 898}",119.7579357532409,7.147084256076253e-28,ok,0.0045464544141970405,3.5735421280381264e-27,True
