word,count
pilot,18440
failure,12376
landing,10930
resulted,10650
loss,8866
control,8255
engine,7246
maintain,7245
airplane,6124
power,5944
flight,5179
fuel,4311
directional,3423
takeoff,3147
improper,2897
runway,2888
subsequent,2722
conditions,2507
terrain,2468
inadequate,2304
total,2288
decision,2147
gear,2037
collision,1875
stall,1737
determined,1653
approach,1618
altitude,1533
reasons,1512
roll,1506
student,1505
impact,1417
low,1406
aerodynamic,1401
clearance,1389
airspeed,1327
instructor,1251
hard,1239
flare,1174
adequate,1136
excursion,1079
undetermined,1048
partial,1041
nose,1030
ground,1017
wind,1013
climb,1000
starvation,937
main,925
helicopter,919
crosswind,894
maneuvering,892
lack,864
aircraft,855
left,847
preflight,837
system,836
go,833
maintenance,817
exhaustion,814
angle,799
around,797
carburetor,779
attack,777
critical,776
instrument,771
right,760
inadvertent,759
available,754
gusting,727
rotor,719
delayed,708
planning,697
initial,669
proper,658
operation,648
encounter,645
use,642
inspection,640
bounced,633
trees,625
airport,623
result,623
exceedance,623
fatigue,614
visual,593
forced,582
separation,576
examination,575
postaccident,574
descent,566
based,557
high,555
action,544
damage,531
led,529
meteorological,526
oil,520
avoid,505
night,497
normal,493
water,490
following,487
properly,485
remedial,485
inability,482
precluded,470
pilots,467
tailwind,464
application,464
personnel,455
icing,437
land,435
excessive,432
recovery,421
management,419
collapse,411
touchdown,401
crew,401
tail,400
information,396
brake,395
final,391
line,385
air,385
traffic,383
continue,383
area,382
disorientation,382
cruise,381
wing,379
evidence,375
anomalies,372
weather,369
see,368
performance,366
spatial,363
fire,357
ensure,356
pitch,356
loop,350
valve,334
turbulence,333
experience,333
installation,333
unsuitable,331
spin,331
reveal,326
cylinder,325
maneuver,324
propeller,320
gusty,316
attempt,315
prior,299
aborted,299
taxi,297
attain,292
turn,289
overrun,289
sufficient,288
heat,287
lines,287
attempted,286
condition,286
assembly,285
operating,284
compensation,282
pressure,281
position,280
speed,274
selection,269
emergency,269
extend,267
taxiing,262
short,257
point,254
procedures,253
known,250
incorrect,247
blade,243
controller,243
rate,242
weight,239
level,239
non,233
ice,232
passenger,225
glider,224
brakes,222
mechanical,221
insufficient,221
contamination,221
throttle,220
density,218
snow,217
wheel,215
failed,214
reason,212
follow,211
rod,210
